idx,hit_term,whitespace_before,whitespace_after,boundary_cut_near,timestamps_in_window,pct_time_decreasing,near_total,near_proactive_event_tracker,near_triald,near_TRILogEvent,near_ABTest,near_variant,near_bucket
373,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
374,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
375,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
376,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
377,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
378,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
379,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
380,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
381,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
382,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
383,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
384,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
385,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
386,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
387,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
388,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
389,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
390,遮断,No,No,No,3,0.333,10,0,0,0,0,0,10
391,遮断,No,No,No,3,0.333,10,0,0,0,0,0,10
392,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
393,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
394,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
395,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
396,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
397,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
398,認証,No,No,No,3,0.333,10,0,0,0,0,0,10
399,認証,No,No,No,3,0.333,10,0,0,0,0,0,10
400,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
401,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
402,監視,No,No,No,3,0.333,10,0,0,0,0,0,10
403,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
404,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
405,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
406,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
407,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
408,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
409,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
410,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
411,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
412,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
413,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
414,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
415,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
416,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
417,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
418,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
419,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
420,設定,No,No,No,3,0.333,10,0,0,0,0,0,10
421,削除,No,No,No,3,0.333,10,0,0,0,0,0,10
422,復元,No,No,No,3,0.333,10,0,0,0,0,0,10
423,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
424,監視,No,No,No,3,0.333,10,0,0,0,0,0,10
425,確認,No,No,No,3,0.333,10,0,0,0,0,0,10
